name,cont_estres_R1,cont_estres_R2,cont_estres_R3,control_R1,control_R2,ctrl_N7_XT17_R1,ctrl_N7_XT17_R2,ctrl_N7_XT17_R3,estres_N7_XT17_R1,estres_N7_XT17_R2,estres_N7_XT17_R3
AVESA.00001b.r3.1Ag0000193,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000194,6,10,2,6,4,0,2,2,9,5,2
AVESA.00001b.r3.1Ag0000195,3,8,6,6,8,0,3,11,16,4,5
AVESA.00001b.r3.1Ag0000196,0,0,0,0,0,0,0,0,1,0,0
AVESA.00001b.r3.1Ag0000197,0,2,0,0,2,0,0,0,1,2,0
AVESA.00001b.r3.1Ag0000198,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000199,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000200,34,36,58,40,53,15,41,54,30,44,51
AVESA.00001b.r3.1Ag0000201,133,33,117,96,69,61,125,164,157,42,122
AVESA.00001b.r3.1Ag0000202,42,51,27,25,33,42,31,26,52,77,29
AVESA.00001b.r3.1Ag0000203,0,0,0,0,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0000204,23,30,39,19,17,2,22,7,34,24,36
AVESA.00001b.r3.1Ag0000205,55,48,93,66,60,12,55,41,87,56,138
AVESA.00001b.r3.1Ag0000206,321,288,302,215,246,217,320,335,325,203,443
AVESA.00001b.r3.1Ag0000207,65,96,79,78,130,82,161,170,84,70,136
AVESA.00001b.r3.1Ag0000208,7,15,4,9,5,4,7,12,10,14,12
AVESA.00001b.r3.1Ag0000209,61,41,52,68,49,23,48,42,54,35,63
AVESA.00001b.r3.1Ag0000210,144,14,86,150,39,341,47,92,75,10,62
AVESA.00001b.r3.1Ag0000211,4,4,10,4,2,2,10,7,4,5,4
AVESA.00001b.r3.1Ag0000212,11,27,31,16,15,1,6,28,21,15,47
AVESA.00001b.r3.1Ag0000213,16,6,19,12,12,2,19,9,13,12,24
AVESA.00001b.r3.1Ag0000214,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000215,0,0,0,0,0,0,2,0,2,0,0
AVESA.00001b.r3.1Ag0000216,21,17,19,14,26,19,22,11,18,8,18
AVESA.00001b.r3.1Ag0000217,5,12,1,6,4,0,9,7,7,8,9
AVESA.00001b.r3.1Ag0000218,4,10,10,7,2,0,9,7,0,8,10
AVESA.00001b.r3.1Ag0000219,61,24,69,21,26,12,36,24,64,32,40
AVESA.00001b.r3.1Ag0000220,3,2,0,2,7,4,7,3,5,8,0
AVESA.00001b.r3.1Ag0000221,0,0,0,0,0,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0000222,5,13,20,12,5,0,7,6,13,15,9
AVESA.00001b.r3.1Ag0000223,0,4,4,2,4,0,4,5,7,5,6
AVESA.00001b.r3.1Ag0000224,2,2,8,2,0,0,2,0,3,2,4
AVESA.00001b.r3.1Ag0000225,33,35,49,33,26,3,74,49,33,51,56
AVESA.00001b.r3.1Ag0000226,317,322,313,249,385,71,320,360,372,344,345
AVESA.00001b.r3.1Ag0000227,19,60,22,29,27,17,15,17,21,12,15
AVESA.00001b.r3.1Ag0000228,8,14,0,0,9,4,8,15,3,8,2
AVESA.00001b.r3.1Ag0000229,31,4,9,11,3,4,4,1,4,2,20
AVESA.00001b.r3.1Ag0000230,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000231,0,0,2,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000232,0,2,0,4,2,0,0,3,0,1,6
AVESA.00001b.r3.1Ag0000233,0,0,0,2,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000234,28,0,31,11,10,17,17,45,18,18,38
AVESA.00001b.r3.1Ag0000235,13,25,25,26,16,5,30,20,13,19,18
AVESA.00001b.r3.1Ag0000236,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000237,0,0,0,2,0,0,4,2,2,1,4
AVESA.00001b.r3.1Ag0000238,4,2,8,2,3,4,3,2,10,2,5
AVESA.00001b.r3.1Ag0000239,1,5,3,0,5,0,6,2,3,8,3
AVESA.00001b.r3.1Ag0000240,0,0,0,0,3,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000241,23,22,30,25,20,20,19,12,19,14,22
AVESA.00001b.r3.1Ag0000242,6,0,2,0,0,0,4,1,4,1,2
AVESA.00001b.r3.1Ag0000243,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000244,0,0,0,1,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000245,2,2,2,8,2,0,2,4,7,8,16
AVESA.00001b.r3.1Ag0000246,10,12,8,8,6,2,14,9,12,3,10
AVESA.00001b.r3.1Ag0000247,16,9,19,25,23,6,18,23,19,7,36
AVESA.00001b.r3.1Ag0000248,0,2,3,2,0,0,0,1,0,2,0
AVESA.00001b.r3.1Ag0000249,0,0,3,0,0,4,0,0,0,2,2
AVESA.00001b.r3.1Ag0000250,0,4,6,2,2,0,2,6,6,2,6
AVESA.00001b.r3.1Ag0000251,0,0,0,0,0,0,0,1,0,2,3
AVESA.00001b.r3.1Ag0000252,7,0,1,0,2,0,5,1,4,1,3
AVESA.00001b.r3.1Ag0000253,6,12,6,4,8,0,12,8,9,2,14
AVESA.00001b.r3.1Ag0000254,6,20,13,8,15,0,12,5,18,16,29
AVESA.00001b.r3.1Ag0000255,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000256,4,2,6,2,0,10,13,5,5,5,0
AVESA.00001b.r3.1Ag0000257,16,17,8,14,5,6,7,12,8,11,15
AVESA.00001b.r3.1Ag0000258,12,16,16,12,4,6,8,9,12,16,12
AVESA.00001b.r3.1Ag0000259,11,16,13,8,11,2,12,25,12,4,15
AVESA.00001b.r3.1Ag0000260,10,12,2,12,11,0,8,20,7,9,16
AVESA.00001b.r3.1Ag0000261,32,27,28,38,55,11,25,31,21,31,57
AVESA.00001b.r3.1Ag0000262,20,42,29,26,29,29,52,63,23,34,34
AVESA.00001b.r3.1Ag0000263,15,5,15,11,16,3,9,16,26,6,18
AVESA.00001b.r3.1Ag0000264,0,0,0,4,0,0,2,0,0,0,0
AVESA.00001b.r3.1Ag0000265,14,13,6,5,6,2,2,11,10,1,2
AVESA.00001b.r3.1Ag0000266,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000267,547,907,848,582,1113,419,929,892,766,1128,1013
AVESA.00001b.r3.1Ag0000268,43,49,55,20,41,20,28,39,71,50,51
AVESA.00001b.r3.1Ag0000269,0,0,0,2,0,0,4,2,2,1,0
AVESA.00001b.r3.1Ag0000270,2,0,0,0,0,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0000271,3,15,10,11,13,6,17,15,7,9,19
AVESA.00001b.r3.1Ag0000272,1,5,14,8,16,3,7,11,9,11,11
AVESA.00001b.r3.1Ag0000273,43,87,91,116,80,10,52,58,53,67,55
AVESA.00001b.r3.1Ag0000274,0,4,0,4,2,2,0,2,4,0,2
AVESA.00001b.r3.1Ag0000275,52,38,73,43,29,40,69,72,66,41,53
AVESA.00001b.r3.1Ag0000276,45,29,43,22,35,1,26,31,47,22,36
AVESA.00001b.r3.1Ag0000277,1037,797,1183,1185,1104,1371,1699,1839,968,1052,1174
AVESA.00001b.r3.1Ag0000278,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000279,0,0,2,0,0,0,4,0,2,0,4
AVESA.00001b.r3.1Ag0000280,0,4,6,2,0,0,6,0,2,4,10
AVESA.00001b.r3.1Ag0000281,0,6,6,2,7,0,4,2,13,5,2
AVESA.00001b.r3.1Ag0000282,4,2,2,2,2,0,0,1,0,5,2
AVESA.00001b.r3.1Ag0000283,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000284,5,10,7,4,6,0,6,4,3,4,4
AVESA.00001b.r3.1Ag0000285,8,8,14,8,12,2,9,10,6,15,9
AVESA.00001b.r3.1Ag0000286,34,8,35,20,21,12,35,27,47,24,40
AVESA.00001b.r3.1Ag0000287,14,12,16,2,10,4,11,8,14,2,12
AVESA.00001b.r3.1Ag0000288,4,3,10,2,4,2,6,8,8,19,9
AVESA.00001b.r3.1Ag0000289,0,8,4,0,5,0,2,2,3,2,8
AVESA.00001b.r3.1Ag0000290,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000291,6,8,10,4,2,2,4,7,2,0,2
AVESA.00001b.r3.1Ag0000292,0,3,0,4,0,0,4,1,2,1,11
AVESA.00001b.r3.1Ag0000293,9,11,17,12,4,3,14,9,11,11,19
AVESA.00001b.r3.1Ag0000294,1,16,8,11,14,2,11,15,6,4,12
AVESA.00001b.r3.1Ag0000295,2,0,0,0,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0000296,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000297,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000298,0,0,0,1,0,0,1,0,0,0,0
AVESA.00001b.r3.1Ag0000299,0,0,2,1,0,0,1,1,0,0,0
AVESA.00001b.r3.1Ag0000300,2,0,2,0,2,0,0,1,2,0,0
AVESA.00001b.r3.1Ag0000301,5,0,0,0,0,0,0,0,0,1,0
AVESA.00001b.r3.1Ag0000302,16,12,25,17,8,4,11,12,22,20,18
AVESA.00001b.r3.1Ag0000303,2,11,16,9,6,2,6,4,14,12,6
AVESA.00001b.r3.1Ag0000304,0,8,6,0,7,2,5,10,16,6,12
AVESA.00001b.r3.1Ag0000305,0,6,8,2,7,0,2,5,14,3,2
AVESA.00001b.r3.1Ag0000306,61,50,46,39,39,17,44,38,58,52,69
AVESA.00001b.r3.1Ag0000307,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000308,2,14,8,4,12,6,6,9,10,8,16
AVESA.00001b.r3.1Ag0000309,8,12,4,13,3,0,20,22,4,11,9
AVESA.00001b.r3.1Ag0000310,0,6,12,4,0,0,0,1,4,5,8
AVESA.00001b.r3.1Ag0000311,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000312,26,28,48,34,29,5,32,54,53,30,47
AVESA.00001b.r3.1Ag0000313,4,4,10,0,2,2,0,3,0,0,2
AVESA.00001b.r3.1Ag0000314,14,11,13,11,2,4,9,5,13,11,11
AVESA.00001b.r3.1Ag0000315,4,16,2,2,8,0,6,4,4,20,8
AVESA.00001b.r3.1Ag0000316,4,2,4,4,4,0,6,4,6,6,9
AVESA.00001b.r3.1Ag0000317,2,0,0,1,1,0,0,4,2,2,1
AVESA.00001b.r3.1Ag0000318,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000319,4,1,2,2,8,0,4,0,6,3,0
AVESA.00001b.r3.1Ag0000320,2,0,8,6,2,0,2,1,4,5,8
AVESA.00001b.r3.1Ag0000321,0,0,1,0,2,0,0,0,0,0,2
